,Store,Arima,ETS,Theta,Metalearner
0,store_1,0.001915991409945536,0.0025048996443828046,0.002270198294381479,0.002089571618631115
1,store_2,0.0010827737729628849,0.0015280932400380375,0.00141896579630666,0.0012602505508671946
2,store_3,0.0014680579312405307,0.0006195396614241023,0.0006625883332679433,0.0009426985532564415
3,store_4,0.0007769552651805258,0.0013495201674364283,0.0010642672805945283,0.0009513189785721053
4,store_5,0.0005745028193149504,0.0006872694724535919,0.0007080029283008716,0.000634309118598924
5,store_6,0.0010627675864662261,0.0009859280438325884,0.0010209891008322244,0.0009949580578193654
6,store_7,0.0009970341583410778,0.0012454924220853603,0.0010616885363007918,0.0010335418227165924
7,store_8,0.0015069182063406949,0.0011907189331784335,0.0012000684587356143,0.0012970879456044545
8,store_9,0.0019873614626923926,0.0026685627427830375,0.0024712677915031973,0.0023120951143911182
9,store_10,0.0010998833930201599,0.0011973829119760523,0.0010476254507542824,0.0010376965046025297
10,store_11,0.001251684059517305,0.0019811946140714945,0.0018130640014861466,0.0015058627049166675
11,store_12,0.0011182738486434547,0.0008203052247696917,0.0008547892092219668,0.0008960292191598877
12,store_13,0.0012403664168509519,0.0012609229873156358,0.0011610008068691777,0.0010934159940776686
13,store_14,0.001650379427766447,0.0025238445310138548,0.002312874497492651,0.0020357884780120307
14,store_15,0.0010246425675885294,0.0007938666062557448,0.0007927961362970737,0.0008309772814302591
15,store_16,0.0011356399913960403,0.000925620594980611,0.000855275593993591,0.0008146701206423155
16,store_17,0.0008743487070174353,0.0008690297804783313,0.0008667797860074433,0.0008703715944570093
17,store_18,0.0008505726698578719,0.0005046502677981997,0.0004632232800842035,0.0005201792559089732
18,store_19,0.0009153881325167422,0.0007785974418522671,0.0008055701229523859,0.0008265465054688724
19,store_20,0.000753239861128228,0.0006638595187531165,0.000626642397591161,0.0006416188478666622
20,store_21,0.0008983515749511419,0.0012091637921772557,0.0011283842893586276,0.0010572213993839939
21,store_22,0.0015374424970970905,0.0016912643843798333,0.001638053924286279,0.001530824300708588
22,store_23,0.002223040019761348,0.002203371881884915,0.0021423400218375534,0.0021886368279254317
23,store_24,0.0008353529500209988,0.0015149200538435979,0.0010977695807875294,0.0010287358589883106
24,store_25,0.0030172534402404766,0.0035367812650424096,0.0032486252385672625,0.003065527378930344
25,store_26,0.0008260586465472513,0.0006722225597509698,0.0006624084858176155,0.0006640261437033836
26,store_27,0.0008828349500777971,0.0005540529118872692,0.0005725570709700971,0.000626197428185305
27,store_28,0.002248006764811691,0.003043918271468852,0.0028745904668956938,0.002615210567868753
28,store_29,0.0019771478607295144,0.0013858133900955406,0.0014043249234138894,0.0015822850380595324
29,store_30,0.001123042540029767,0.0015459036083517075,0.001464519034958943,0.001273051404356466
30,store_31,0.0013686489335621229,0.0015276955295347042,0.0014402113262804792,0.0013930597379723973
31,store_32,0.0006560777023738196,0.0009912870908727394,0.0008524203320521702,0.0007891683129944435
32,store_33,0.0007429396059420281,0.0005892884787588903,0.0006051570525826796,0.0006290984954540612
33,store_34,0.0010830956615124894,0.0009053072057098757,0.0009493602931622443,0.0009795626607583627
34,store_35,0.002450925979436693,0.0020884002888059794,0.00205955864238157,0.002212452044321717
35,store_36,0.002860727085891482,0.002499374609970279,0.0025140770303996142,0.002623019942357085
36,store_37,0.0004899784038238044,0.0005882629367419136,0.0004875649805423339,0.0004346994947787135
37,store_38,0.004793035491647596,0.00922172041468445,0.004817907318592751,0.005953127261498209
38,store_39,0.0018675417666604867,0.0021433093188221934,0.0020469242532154368,0.001953175884394754
39,store_40,0.0008822684984310778,0.0010701826133455933,0.0009850406307729104,0.0008753974256660807
40,store_41,0.002349775476900634,0.00283621266408991,0.0026742557498245258,0.0025807229336450264
41,store_42,0.0018855479725391963,0.0032150588028824175,0.001961050138582231,0.0022159442593089117
42,store_43,0.001412369116966842,0.001869383381904897,0.0016840762683559766,0.0016191689773317009
43,store_44,0.001069896949544679,0.0017664553407523134,0.0014254759954350738,0.0013549163769366562
44,store_45,0.0012503784830792178,0.0009693768149594742,0.0009897105284233424,0.0010598731259927829
45,store_46,0.002888518532174816,0.0023612532641772415,0.002430162602877225,0.002527069716275028
46,store_47,0.001967603875812031,0.002113549485366243,0.0019409067543511523,0.0019927630247688326
47,store_48,0.0014983210554899203,0.002054781857106317,0.0018781282499382205,0.001624162858614515
48,store_49,0.0015720401094758288,0.00228487026220047,0.0021531242323981335,0.0018934926326292366
49,store_50,0.00107635356339586,0.0012592173970871234,0.001065715845033493,0.0010363758834478953
50,store_51,0.0019730152886030567,0.0025910092698408515,0.0022970895367018978,0.0021808061220051408
51,store_52,0.00038440357346967264,0.000658114527237337,0.000619771513895931,0.0004910556316681449
52,store_53,0.0020877478089587416,0.0028053834380682326,0.0026127094873290187,0.0022976800547781203
53,store_54,0.0017715947763952472,0.002161359315612014,0.001977325552560381,0.0019362866135975187
54,store_55,0.0005841854053256801,0.0008412871124250732,0.0007903251900314198,0.0007040430945083133
55,store_56,0.0017842734603793348,0.0024788378550099316,0.0022719339690725256,0.002067989436452601
56,store_57,0.0015972528925866228,0.002808467830468023,0.002569166639428061,0.002074122344084315
57,store_58,0.000739183290007979,0.0008737047825323066,0.0008234583003410365,0.0007460874958123471
58,store_59,0.0011511066839689724,0.0015583789423826145,0.0014441594004019518,0.0013345322289140746
59,store_60,0.0011920285734588422,0.0009880630002898792,0.0009656750823390064,0.001056780967819844
60,store_61,0.001748533005961734,0.0014205440277279574,0.001454100309455774,0.0015312926206516178
61,store_62,0.0012970757446472225,0.0012675672527149517,0.0012504772507496312,0.0012731220665268053
62,store_63,0.001707970508838658,0.002083464915583666,0.00201387459129364,0.001896695590031541
63,store_64,0.0007435213885896788,0.0007417788307348895,0.0007316620860443607,0.0007379627662097599
64,store_65,0.002857440027533828,0.002433836652607242,0.00244074210814672,0.0025427416032814524
65,store_66,0.001138919935899118,0.0015999772767479993,0.0015343372327811056,0.0013533640990894549
66,store_67,0.002503622080674992,0.0035708600977583764,0.0026533790313024385,0.002836659283890395
67,store_68,0.0019392128008831613,0.0012175354812582336,0.001252793361823562,0.001352897728641625
68,store_69,0.0005516590329010663,0.0006290630662179821,0.00056840293864191,0.0004943399906300912
69,store_70,0.0017670418660311537,0.0027696310433771173,0.0016969606642240728,0.0019814210105961677
70,store_71,0.0012624302606505618,0.0016056125917427338,0.0015442280046530398,0.001423614064327547
71,store_72,0.0011455187916897865,0.0010815417128697726,0.001056106784260515,0.0010493295009361115
72,store_73,0.00300482625083698,0.003524035245811479,0.00334206286399902,0.0032485316140133864
73,store_74,0.0018774172670906824,0.0017588208980341565,0.0017402580735633192,0.0017993156463443605
74,store_75,0.001186194970088071,0.00050709237627323,0.0005222246287145645,0.0007384327836995927
75,store_76,0.0025726363179917823,0.0024371542972984055,0.0024711147115196014,0.002499049608789837
76,store_77,0.002172120560653573,0.0025289957450596334,0.002229813717814237,0.0021104800270769627
77,store_78,0.0013087803239196316,0.0006363138516396341,0.0006771083117343933,0.0008409292543470601
78,store_79,0.0010176977079500266,0.0009609856980713174,0.0009367622408447367,0.0008998065736432595
79,store_80,0.0007937825515702674,0.0006096514685327974,0.0006297896163549767,0.0006678244643810713
80,store_81,0.0007325671571666314,0.0005150521322575144,0.0005088161383114102,0.0005113212237034314
81,store_82,0.0005233967561807413,0.0004125017357290797,0.0003511763057395679,0.0003646060240195936
82,store_83,0.0011177585602301335,0.0011005746860337042,0.0010939699093556472,0.0010949840282563428
83,store_84,0.0009492361567328849,0.0015224632257762021,0.0012203718424099058,0.0011825905717360514
84,store_85,0.0019391004998335689,0.0022003187611943776,0.0020480943996385413,0.002018089105856703
85,store_86,0.000499341718224522,0.0005107244075388687,0.00046417713274722307,0.00038601349011630365
86,store_87,0.0008387387576099907,0.0007835493733495551,0.000855298385743658,0.0007604590521889061
87,store_88,0.0021156833360428764,0.002923261875082846,0.0025420323150419266,0.0024627270811292843
88,store_89,0.001366115382708495,0.0021151683956034074,0.0018342256069959794,0.0016244290490316344
89,store_90,0.0054144874693747205,0.009429550279835015,0.005692507000508738,0.006558049528642885
90,store_91,0.0010050009765430268,0.0006511118309163148,0.000650778319751118,0.000715072252017593
91,store_92,0.0015173044858365443,0.001950353103310224,0.0018014329947155206,0.0017045469187526334
92,store_93,0.0006213414557782142,0.0005175987948239435,0.000487178978551963,0.00047696516913816765
93,store_94,0.0009106094288949485,0.001087593803850394,0.001083073341259992,0.0009840423670112617
94,store_95,0.0005332857312685482,0.0005382546943576185,0.0005734951749963154,0.0005468742361607865
95,store_96,0.0015662428425308253,0.0012175903290864256,0.0012519982131338266,0.0013547058189846705
96,store_97,0.0013015551426288805,0.0015391019207963708,0.0015768720272405087,0.0014567501640111527
97,store_98,0.0006527440565447388,0.0006585244046809758,0.0006728226832976417,0.0006545139735821075
98,store_99,0.002969947688675423,0.0031238782708434905,0.003040592381011243,0.0030353858666079376
99,store_100,0.0007690748338670505,0.0008061941493202368,0.0007843589773859599,0.0007678627344927181
