output_data1,output_data2,output_data3,output_data4,output_data5,output_data6,output_data7,output_data8,output_data9,output_data10,output_data11,output_data12,output_data13,output_data14,output_data15,output_data16,output_data17,output_data18,output_data19,output_data20,output_data21,output_data22,output_data23,output_data24,output_data25,output_data26,output_data27,output_data28,output_data29,output_data30,output_data31,output_data32,output_data33,output_data34,output_data35,output_data36,output_data37,output_data38,output_data39,output_data40,output_data41,output_data42,output_data43,output_data44,output_data45,output_data46,output_data47,output_data48,output_data49,output_data50,output_data51,output_data52,output_data53,output_data54,output_data55,output_data56,output_data57,output_data58,output_data59,output_data60,output_data61,output_data62,output_data63,output_data64,output_data65,output_data66,output_data67,output_data68,output_data69,output_data70,output_data71,output_data72,output_data73,output_data74,output_data75,output_data76,output_data77,output_data78,output_data79,output_data80,output_data81,output_data82,output_data83,output_data84,output_data85,output_data86,output_data87,output_data88,output_data89,output_data90,output_data91,output_data92,output_data93,output_data94,output_data95,output_data96,output_data97,output_data98,output_data99,output_data100,output_data101
0,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
0.00416666666666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667,1250.00041666667
0.00833333333333333,1250.06997804507,1250.02737289487,1250.03355975254,1250.09142732527,1249.98570222586,1249.99530416624,1249.96084964038,1250.02709587459,1249.96799133088,1249.94991315179,1250.07031215956,1249.98977477837,1249.97909656762,1250.06307422517,1249.96138975101,1249.98214016952,1249.92070100051,1249.94530970057,1249.9494245972,1250.01680460525,1250.0239983632,1250.04617859835,1249.99551677163,1249.98577680734,1249.98679906246,1250.03305301332,1249.88805643701,1250.07735943142,1250.00202110567,1250.01872864965,1250.02558041595,1250.12390361042,1250.07911505489,1249.97466123824,1249.96612160024,1249.98021902767,1250.12996573494,1249.99013616564,1250.02917490807,1249.94491108081,1250.00934100392,1250.0267283442,1250.05300692387,1250.01073873475,1250.03029294283,1250.02516362595,1250.06029405588,1250.03932024225,1249.98501983319,1249.99170856193,1249.94270759657,1249.98740075166,1250.01344322841,1250.0181661431,1249.96386598905,1249.88109879038,1250.02954191637,1250.00751625717,1250.00610287104,1249.97785312099,1249.99092100761,1250.00567715366,1249.99271899158,1249.9481002482,1249.8598070349,1249.99254020763,1249.97543942351,1250.02046264819,1250.08814932579,1249.9850637589,1250.05591872176,1249.90658450632,1249.97802686853,1250.04134230375,1249.9714203729,1250.08008603352,1249.98377509493,1249.94587792735,1249.96083406129,1249.97380919734,1250.00890172199,1249.98755738786,1250.02375682739,1249.94679111539,1250.01747639311,1250.04369584338,1250.04701574585,1250.03601537983,1250.00535029831,1249.9583512705,1249.94607702495,1249.98065683032,1249.97339317332,1249.95411727683,1249.94556690087,1250.01532305453,1249.97484415648,1249.96804121645,1249.9674210916,1250.01131962906
0.0125,1250.02991280279,1250.00836281458,1250.06785030088,1249.97761803905,1249.91305142004,1250.017998592,1249.93562546145,1249.95353514863,1249.98611644613,1249.88287390052,1250.10347553308,1249.93701090539,1249.91409931883,1250.08161829991,1250.02246230981,1249.99664171184,1249.97968587881,1249.9823700883,1249.87642260406,1250.05649675263,1249.93923527532,1249.98840682728,1249.9774725947,1249.97059047994,1249.96106471479,1250.0068163373,1249.80316950629,1250.04865083852,1249.99656081693,1250.18665032839,1250.04424490246,1250.21336400285,1250.05333888447,1249.93861136494,1249.9955519086,1250.07543471899,1250.12940181291,1249.90382061442,1250.11749183391,1249.91081796053,1249.97131834884,1249.98748835881,1250.09151935618,1250.06139577875,1250.09434053055,1250.07403987531,1250.11798175612,1250.07865595047,1250.123817681,1249.9615531039,1249.88075158021,1250.00818986556,1250.02553279972,1250.02197996951,1249.9035871441,1249.92294401366,1250.04631998973,1250.0367109754,1250.01816535778,1250.00444355663,1250.0068669273,1250.0609911358,1249.96714027012,1250.04150788458,1249.85351962848,1249.89239870538,1250.02863184596,1249.98288662246,1250.07115912435,1249.98691270733,1249.90822535077,1250.01572571053,1250.00234170753,1250.09091047403,1249.90301899287,1250.05341939646,1250.04549908197,1249.96727517584,1250.0725026394,1249.95765061854,1250.04505149134,1249.99781766324,1250.07520066348,1250.12866484205,1250.0584147636,1250.08102954413,1250.07579597966,1250.07883775173,1249.83521670714,1249.96725881336,1249.92376913488,1250.01793914537,1249.93264197325,1249.99789642097,1250.00361589605,1250.03258858634,1250.07277201913,1250.01447022171,1249.90808481893,1250.05015559307
0.0166666666666667,1250.14940027601,1250.02496599899,1249.87336596844,1249.85032834818,1249.90711209808,1249.96894949379,1250.07528829897,1250.1025591655,1250.02940209208,1249.86637906738,1250.05235249933,1249.96868401097,1249.81546074702,1250.04925727226,1250.09691706937,1250.00569149777,1250.02713508678,1249.95005748532,1249.7816868372,1250.02153557809,1250.05870391005,1249.98228064749,1249.87724450041,1249.97954726588,1250.08825308091,1249.94790146665,1249.83431359589,1250.01443118575,1249.99855010634,1250.18100835727,1249.95497476702,1250.19134110112,1250.00052943982,1250.0090844527,1250.08806855444,1249.92847445802,1250.27029146468,1249.80463161253,1250.24559472095,1249.90485280142,1250.02623353288,1250.01059246848,1250.1464610907,1250.08267527909,1250.06230463038,1250.1144265824,1250.08139113474,1250.08648885662,1250.03363599074,1250.00789493706,1249.85833899394,1250.09634185482,1250.07532167419,1250.07403894884,1249.8391283631,1249.8610298429,1250.1134375993,1249.95987273611,1249.98221701862,1250.21371954694,1249.85101498285,1250.03402463387,1250.07469513444,1250.06997639327,1249.91111783396,1249.9977290295,1250.00503356137,1250.00453764919,1250.02592332889,1250.09889438389,1249.84575634881,1250.0388521255,1250.09968674241,1250.115581198,1249.83669705549,1250.06685458662,1249.92690056914,1249.99463312381,1250.23719978141,1250.05709881093,1250.02744859128,1250.03444195285,1250.18807384373,1250.1246998018,1250.09919782886,1250.21836453687,1250.15119241717,1249.92867483756,1249.7864159626,1250.0086667769,1249.93713122448,1250.00058122901,1249.78697722249,1250.03737161195,1250.17772890867,1249.95647807396,1250.10421999471,1250.02271954285,1249.98370419705,1249.98645790845
0.0208333333333333,1250.19648033048,1250.0625180669,1249.79340279524,1249.78640713818,1249.93059270108,1249.90720961158,1250.1568094404,1250.14979092685,1250.07165671074,1249.72074705911,1250.11904430982,1250.00293266126,1249.77178893004,1250.01909728273,1250.02274660682,1249.82703058968,1250.19355109269,1250.03217033636,1249.67059900859,1249.99452549672,1250.12833411992,1250.0900952677,1249.8354282016,1249.9969274443,1250.17759193299,1249.93986496833,1249.81934942409,1250.14827650497,1249.88885350753,1250.16765236235,1250.01763486744,1250.18937958566,1250.01575302498,1249.95814265723,1250.27494641124,1249.90769825523,1250.29126089095,1249.74689602507,1250.06438507917,1249.86482279404,1249.96744259605,1250.12934952017,1249.98518332067,1250.06575922227,1249.97923638512,1250.07301332721,1250.07168921889,1250.07320539047,1250.1036897607,1250.11910208201,1249.80430467355,1250.16915691442,1250.13173076378,1249.99562181041,1249.7591530442,1249.79273923002,1250.21278588424,1250.23226270911,1250.09225741041,1250.38583012866,1249.95832593518,1249.95229552666,1249.95294867876,1250.04597923793,1250.02061064426,1250.00264766545,1250.04608689276,1249.97911784605,1250.21731113734,1250.0644891651,1249.97108672245,1250.20479477711,1250.31035541527,1250.0451949309,1249.86033003357,1250.12296942271,1250.01561679218,1249.93175552235,1250.20131993505,1250.08774578746,1250.14688445728,1250.02075419523,1250.17417813973,1250.11816542931,1250.03568915955,1249.98193988534,1250.16984852675,1249.80578167006,1249.84705989312,1250.20222896512,1249.887646208,1250.06457765769,1249.66889352902,1249.98883365779,1250.12807057223,1249.94421988833,1250.22180012611,1250.05041167499,1249.95685887289,1250.0669037465
0.025,1250.30091702846,1250.04158090089,1249.944160308,1249.78801255235,1249.75388710605,1250.01165781723,1250.2511558013,1250.31555775295,1249.83359488447,1249.55129002524,1250.04382578008,1249.87112635799,1249.89818201379,1250.09440920772,1250.02079541197,1249.62502999192,1250.29210494068,1249.93492908637,1249.48684090568,1250.13829775947,1250.0436876529,1250.0796811982,1249.7932751372,1249.83104535853,1250.2557613688,1249.85766813354,1249.85398864284,1250.12490615678,1250.0390581083,1250.16466669351,1250.06279879594,1250.16111577461,1250.12131969867,1249.74871925786,1250.16608073327,1249.8624926992,1250.32687586743,1249.83734551277,1250.10952873097,1249.84885292044,1249.76565775549,1250.25709930753,1250.11184840796,1249.87757752593,1249.90243559003,1250.09997196671,1250.06535240779,1250.11020129873,1250.12719471074,1250.17179922157,1249.75325840199,1250.25237161085,1250.14596825796,1250.03903995727,1249.71256614854,1249.77559811792,1250.18906705998,1250.49527476627,1250.02125800424,1250.17973273227,1249.94245089234,1249.85109328655,1249.89813788454,1249.94405854791,1249.95417264062,1250.16510781473,1250.32966717377,1249.96212464504,1250.11126246849,1250.09925916324,1249.99478604301,1250.14654279637,1250.39360446763,1249.90822976533,1249.97232736053,1250.24961452526,1249.87614193636,1249.94530914985,1250.14547454302,1250.11943306409,1250.03301747464,1249.94225447365,1250.40505112075,1250.03789914919,1250.01619070318,1249.83893124595,1249.97904298796,1249.73536235555,1249.74453862233,1250.2633830304,1249.7927164361,1250.00838138111,1249.57780602,1249.85783980768,1250.04147974863,1249.9935056641,1250.3938655054,1250.06918426558,1249.97402983417,1249.89847470465
0.0291666666666667,1250.40550119065,1250.00744052027,1249.87724483512,1249.68308701399,1249.65111524811,1249.83151412376,1250.4361592457,1250.27328349287,1249.88492634889,1249.35984087132,1249.9424987847,1249.88125547245,1249.87211036135,1250.09203271102,1250.1761833121,1249.54088112432,1250.14429099333,1250.01396906503,1249.39219785807,1250.25775113223,1250.06834366686,1250.1186372498,1249.9072228266,1249.87275996556,1250.29843702577,1249.8040670685,1249.75540704513,1250.19959212011,1250.06535414026,1250.10482788281,1249.85285010457,1250.01975273662,1250.19217548573,1249.80968514715,1250.40076849434,1249.95843100934,1250.40933008197,1249.81567353276,1250.28350729219,1250.03089673225,1249.90314038772,1250.30276088937,1250.07964833806,1250.1198978084,1249.79203443933,1250.22177767172,1249.96867393348,1250.16342325277,1249.97994904111,1250.31373506066,1249.71488100723,1250.33025350206,1250.27335851693,1250.137871658,1249.55624868778,1249.55006829046,1250.23366258227,1250.43031838539,1250.15619516107,1250.29091753283,1249.89098626445,1249.87598332502,1249.82091976929,1250.06834280629,1249.87271645054,1250.26519434712,1250.10300657497,1250.04580655967,1250.1682080039,1249.99127210189,1250.0654049991,1250.00530903616,1250.42733193158,1249.99848114072,1249.97952914316,1250.3131059058,1249.75607455708,1250.05525179842,1250.14242790718,1250.10018667041,1250.08914584157,1250.18776898883,1250.41050933359,1249.89589781315,1250.11477670769,1249.82463000754,1249.68295003598,1249.63459226375,1249.65349470609,1250.44207520205,1249.90262964944,1249.85836412222,1249.5994340722,1249.65675742379,1250.1052707443,1249.8787288631,1250.60172407216,1250.05623779079,1249.87080277803,1249.93394999186
0.0333333333333333,1250.49373326991,1250.04386276278,1249.72010238218,1249.5507955737,1249.92494362908,1249.89259100543,1250.59384121587,1250.06885126022,1249.90491292901,1249.15983592343,1249.84604999187,1249.83243209876,1249.95512627808,1250.10430894054,1250.18423855267,1249.26958438546,1250.09584382241,1250.07263928741,1249.56523823812,1250.28715636394,1250.00343884824,1250.09398777626,1249.90268659839,1249.82547894082,1250.28279655967,1249.68089397289,1249.78672270902,1250.20611161324,1249.90791543403,1249.78263325055,1249.6561372327,1250.12625750381,1250.07039643769,1249.84320981132,1250.29581838607,1249.80774498443,1250.36124452373,1249.73179577838,1250.24043052049,1250.05840982852,1249.7984357552,1250.40136619516,1250.03363542503,1250.23144120721,1249.74506661273,1250.19735635211,1249.8413408652,1250.04532148375,1250.1004204963,1250.05975065569,1249.63234328214,1250.49155720408,1250.34214272647,1250.11488840675,1249.58091109406,1249.54512813483,1250.11919923623,1250.39675188543,1250.26979540335,1250.52184745648,1250.00748537584,1249.87297338459,1249.65115598672,1250.2543954547,1249.94856823689,1250.60073430568,1250.15117935162,1249.91600641666,1250.38724167479,1250.02424505322,1250.27311270671,1250.10244488295,1250.33763169718,1249.82998467362,1250.00204873815,1250.30903694121,1249.81189990393,1250.11807251168,1250.13467942544,1249.94033491719,1250.0637118216,1250.35921740224,1250.49080357863,1249.90254914388,1250.07961357052,1249.84834285357,1249.65295924806,1249.66057212739,1249.61180959862,1250.53114373188,1249.94016055237,1249.71215404118,1249.74743606592,1249.64796907268,1249.90942444538,1249.87650181998,1250.63809008467,1249.82563642796,1249.7800903174,1250.10661358317
0.0375,1250.44407862312,1249.90881952958,1249.72838839423,1249.41281823768,1249.96652992361,1250.19804690562,1250.82900777674,1250.09149807714,1249.90851707673,1249.0610677279,1249.8989606802,1249.84116481289,1250.01315628915,1249.841549425,1250.23466371888,1249.27666053648,1250.24662979924,1250.03755984953,1249.54881315345,1250.29040104427,1249.9165187715,1250.1185268667,1249.91216406427,1249.62121509531,1250.55119870139,1249.66318640936,1249.7830486479,1250.1178389972,1250.06777472416,1249.77975744289,1249.75559885803,1250.07074663245,1250.13935083396,1249.81067521411,1250.30689595361,1249.65588331462,1250.23993533717,1249.35271008756,1250.37193375119,1249.91158054577,1249.98108971974,1250.42375592412,1250.13795294285,1250.32574999883,1249.52346847207,1250.03022433199,1249.87575648543,1249.82412641395,1250.0597641965,1250.14132290921,1249.64037902568,1250.66870498995,1250.41046413496,1250.28232400576,1249.65762707228,1249.60602206634,1250.05374467786,1250.40089846333,1250.41406773927,1250.6594034051,1250.01789403654,1249.64637078927,1250.03443342224,1250.24291943282,1249.98365159696,1250.53099776618,1249.93832173121,1249.74490712371,1250.15153660391,1250.30899101892,1250.34253482061,1249.67507622439,1250.34610648246,1249.66467499793,1250.07422029746,1250.39245818565,1249.79817249851,1250.2202554889,1250.15218563528,1249.89442455422,1250.01878325409,1250.36119803363,1250.6015583067,1249.86887941938,1249.86362246748,1249.62447710909,1249.76363641664,1249.68161008314,1249.55074532164,1250.3914470756,1249.97831950187,1249.49120801498,1249.80675574671,1249.89833797461,1249.83909228177,1249.85295019555,1250.3999294895,1249.80360921202,1249.93572440089,1250.18829395646
